cell_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
CD4 T	-3.428663	-2.274548	0.768748	-3.157309	3.700757	0.906133	-1.219427	0.469568	0.420957	1.472855	1.081005	2.389651	1.654931	1.386204	-0.677713	-0.173861	-0.378811	1.045730	-0.558340	0.251055	0.594020	2.117630	-0.446119	-0.066672	-0.106026	-1.574515	-0.213020	-1.914776	-0.118910	0.677138	1.024852	1.478565	-1.029223	0.288172	-0.786654	-0.298756	0.690172	-0.185501	-1.070285	1.427440	1.744655	-1.531742	-0.652656	0.566117	0.353216	0.306234	0.894241	-0.842809	-0.589436	1.050722
CD14 Monocytes	0.147592	-4.841277	-3.124346	11.728193	-7.282084	-3.717794	0.258477	0.257860	-1.815652	-3.133952	-3.787927	2.913815	2.257349	1.123751	2.800955	1.526596	-2.298974	0.460672	-0.351498	-1.329633	0.413542	-2.630177	-0.346495	-1.192722	-1.212206	0.597095	1.345222	1.059852	2.586818	-0.094280	-3.804084	-0.033366	-1.279176	1.293998	1.690483	0.588949	-0.453333	-1.315177	0.931485	2.043527	-3.115319	-0.086494	1.441413	-0.527142	2.299610	0.855941	0.142754	-2.376230	1.268262	1.547935
B cells	11.696207	1.397463	-1.605315	2.345343	-5.119937	2.648036	0.998716	2.271853	1.892332	0.413861	0.668563	1.079898	0.408932	-0.571051	-0.677685	-1.061032	-0.238768	-2.729294	1.041932	-1.584728	3.244905	-2.394419	-2.289752	-0.237742	-2.225238	-3.008857	1.510504	-1.175101	-1.951274	-0.082197	1.246820	-1.158606	-1.050060	0.421241	0.932394	-2.608751	-2.880029	2.928414	-0.488008	1.525377	-1.741988	0.021051	3.124034	-2.887056	-1.005386	-0.863971	-1.153983	0.622102	2.077081	-2.306953
CD4 T	-4.385643	-0.670283	0.003282	-2.411428	2.324215	0.131021	1.768744	-0.058510	1.541046	0.934644	0.519086	-1.225188	0.387047	0.165750	-0.642790	-1.092787	-0.559480	0.508090	-1.552910	-0.201659	0.463440	-0.869891	2.324167	-0.460926	-0.287235	-0.925893	1.757290	0.343702	-0.189716	1.621177	-1.515042	-0.575221	-1.394670	-1.769806	-0.795848	-1.179375	0.959369	1.900959	1.930924	2.341544	1.566263	0.861662	1.834012	-2.012738	0.443433	-1.196510	-0.977592	0.474070	1.759006	0.335967
CD14 Monocytes	-0.838699	-5.079568	-0.723748	5.038161	-0.370972	-0.880995	0.830211	0.027839	0.439904	-1.738297	-1.879872	-0.292746	-1.414370	1.827095	1.119687	0.568819	-1.462340	-1.637216	1.457612	0.944303	0.642161	0.568374	1.139723	-0.082687	1.180597	-2.821189	0.585030	1.154475	1.925718	2.347026	-0.196306	-1.350641	-0.521931	-1.967663	0.835059	-1.742110	0.976616	-3.797352	0.100971	2.063461	0.089670	-1.132492	1.951615	-0.331921	1.304614	0.130606	-0.883414	-0.627528	-0.183811	0.502728
CD4 T	-4.331181	-2.065222	0.618250	-3.362866	1.580267	0.296081	-1.123267	0.089773	0.871661	2.138817	0.116668	-0.625239	-0.210956	0.422205	-0.763707	-0.218021	-0.297968	0.654516	0.838622	-0.163200	-1.528808	-0.013634	-0.095842	-0.636783	-1.458094	0.216941	0.355567	0.542926	-1.429956	1.365253	-0.455720	-0.995660	0.381178	-1.239029	0.185911	0.665167	-0.666805	0.067860	-0.601115	0.026425	1.764492	0.045325	-0.663965	2.461886	-0.064411	-0.234136	-0.380467	0.086739	-0.730289	-0.964195
NK cells	8.737998	0.342222	-1.230571	5.538455	-6.804968	-5.800998	-0.074127	6.871017	4.536952	0.960039	-0.061812	1.081467	0.147154	1.257407	1.307176	1.816428	-0.355148	0.878235	-2.445494	1.769575	0.352594	2.018264	0.674041	-0.319397	-1.423538	1.539799	-1.410811	-0.016931	0.211551	1.217823	1.878152	0.806623	-0.190245	1.260369	-2.202409	1.087877	0.402017	1.376866	0.296038	-0.641638	1.632895	-1.203557	-1.384400	-1.462523	1.134727	1.805955	1.139325	0.177696	-1.901017	-0.089607
CD4 T	-3.873134	-1.373267	0.724387	-3.239496	-1.352386	-0.884383	-2.469541	-1.136106	0.253850	1.105843	0.214136	-1.329092	-2.028597	0.066966	1.343907	0.863743	-0.898359	-1.325388	-0.164497	0.716642	-0.810345	-3.038786	0.326772	-0.560678	-1.836552	1.634395	-0.908504	1.717608	2.148298	1.754072	-1.067141	0.569205	-1.951063	2.586413	-1.195007	-2.060132	1.839636	0.001908	0.587992	-1.465204	2.131299	-0.082728	0.877203	-0.338356	3.017601	-1.847040	-1.026095	1.847633	0.636709	0.704283
CD4 T	-3.225880	1.528356	0.875662	-1.100951	-3.170158	-0.456151	1.163071	-0.613367	0.778743	0.439245	-0.664097	-0.935348	3.550056	0.694936	-0.529961	-1.047567	-0.530528	2.666680	-0.383832	-0.380260	-0.730251	1.783425	3.995565	-0.087604	0.102385	0.275768	-0.552678	1.000336	-1.476307	-0.442340	1.457923	0.209693	2.257408	0.484657	3.126274	-0.773846	0.836163	-0.189442	0.028968	2.529651	0.154000	0.223586	0.479461	1.463669	0.451772	0.652328	0.102231	-2.063584	1.774868	2.303896
CD14 Monocytes	-2.789521	-9.919137	-2.181381	9.902155	2.665224	-0.137091	0.404891	-1.514615	0.181996	1.222785	0.826269	-0.119915	2.655432	-0.253922	0.938012	-2.883082	0.952959	0.352267	0.451050	0.169750	-2.658494	0.381765	-0.099066	-1.387196	2.725883	0.890199	-1.144425	-3.977327	-2.163873	1.241403	1.541744	0.642218	0.672089	1.234239	-3.086412	1.599611	1.431558	-0.840032	0.558627	-1.139225	2.108625	0.941235	0.326213	0.525418	1.041340	-0.939548	0.944793	-0.451397	-0.049398	-0.179377
CD14 Monocytes	-2.834349	-3.895617	-1.890050	4.143955	-2.812552	-1.022653	0.023209	0.295990	-0.703750	-2.945105	-1.998394	0.325565	-2.093037	-0.166723	-0.639699	-0.361243	0.003211	-0.557763	1.374719	-0.089461	-1.066945	2.627724	2.034201	-0.478300	0.384528	-1.065694	-0.367065	-0.777329	1.507935	1.619466	0.996967	3.181996	0.341466	-0.497804	2.865160	-1.275231	-0.742181	-1.248393	1.164837	0.177186	1.244059	2.621357	2.159785	1.897294	2.948040	0.729190	-0.330015	0.866385	-1.562661	0.667308
CD8 T	-5.158879	5.045628	0.082636	0.521596	2.712813	-2.455588	-1.081076	-5.383798	8.027560	2.547053	7.445831	-1.355744	-1.672770	3.158539	4.480054	3.564484	1.791459	-1.297902	1.175619	-1.245962	1.511094	3.060912	3.581177	-3.263049	-1.357127	2.198433	0.280568	0.072770	2.043407	-1.338276	0.446380	-1.673078	0.008072	-0.079568	2.124832	0.835060	-1.594496	-1.984418	2.162289	0.992484	0.380503	1.918670	-1.408707	-3.886952	0.184572	-0.580435	0.458022	1.365902	1.068225	1.383842
B cells	12.291718	0.000226	0.161648	-1.906307	-0.637583	-1.665864	0.375033	-1.255788	-2.178489	-3.512169	2.030426	-1.447281	-1.783381	-0.140500	1.654557	-1.482582	0.347071	1.975670	0.683429	-0.514149	-1.405117	2.701291	0.143389	-2.672377	-3.329114	-0.614820	-1.014809	-0.873931	-0.205229	-1.017888	-1.334384	-1.671183	-2.870395	-1.663411	0.240663	-0.634459	2.146833	-0.618097	0.719566	-1.609589	1.197950	-0.230436	-1.692625	-1.236674	-1.485012	-0.916744	-1.674671	0.306827	-0.784874	-0.060172
CD4 T	-3.366409	-0.731034	-0.026750	-2.841662	-2.104887	-0.288462	1.260285	-0.588445	-1.987902	-3.064447	-0.555494	-0.550669	0.406297	1.357611	-0.204814	0.908690	0.588651	-3.954890	0.607867	-0.705246	-0.051047	2.170608	-1.511528	-0.649996	-1.243890	1.267337	3.754087	1.403116	-0.222704	2.071107	1.201423	-0.775235	-1.086713	-0.371180	0.178195	-0.048675	2.550818	1.001507	-0.205042	-0.818861	-0.521817	1.476303	0.734697	0.920884	1.482510	-0.078274	3.449308	0.031098	-0.480058	1.111436
CD4 T	-2.452219	0.598732	0.793788	-2.142159	-2.724170	0.328993	-0.891542	-0.183953	-1.550030	2.271738	-1.279446	0.982027	0.663421	0.835397	1.488847	-0.240900	0.751729	0.330444	-4.274050	3.243432	1.337896	2.540454	2.302050	-2.280094	1.343930	-0.540431	0.033041	-3.097142	1.601238	-0.062944	1.984528	-0.952504	-0.529713	0.283560	1.277705	0.687604	4.433265	1.039636	2.571321	-2.778031	0.144887	-0.174187	1.215413	-2.761632	-0.437469	-4.240974	0.594554	1.663045	0.739895	-1.664377
CD8 T	-3.718135	0.835045	-0.319321	-1.777984	1.684107	0.911232	3.189423	3.207260	0.970101	0.019429	1.336021	-0.436302	0.177895	-0.878680	0.265617	-1.000777	1.864211	-1.366467	1.636436	-0.014804	0.928182	-1.093015	0.468651	0.134300	-1.282274	0.581832	0.585791	0.606267	2.454986	-2.069515	-1.582538	0.671575	0.083193	0.005672	-0.064569	-0.503526	1.358993	-4.190771	-1.298390	-1.461566	-0.515022	0.220269	-1.573074	-2.662061	0.906242	2.444154	-0.832473	-0.200306	-2.119565	-0.589675
CD8 T	-3.333490	8.333856	0.224742	3.233720	6.206981	1.394448	-1.285361	-0.498806	3.660024	-3.074431	0.891611	2.558988	-0.270170	-3.222451	2.064198	-2.081608	-3.166967	-0.568990	-0.597738	3.004169	4.323353	1.350108	-2.119130	-0.106597	2.100368	2.709244	3.412668	-0.916427	-1.456762	-1.712743	-1.670250	-2.121143	1.396929	0.746948	0.163362	-3.047171	0.089526	-1.132020	-3.344182	3.379249	-0.071524	-2.080749	-3.761552	-0.795776	-0.147294	0.397489	1.768167	0.756197	-1.489719	2.740981
CD14 Monocytes	-2.096150	-8.114836	-2.462631	7.392873	1.207969	0.466879	-0.372376	-0.375666	0.802031	0.492217	-0.098423	0.347003	-0.973930	1.136207	-0.728220	0.705086	-1.235332	-1.307970	-0.186013	1.226922	-1.752184	1.346581	2.844137	-1.384842	0.727944	1.796650	1.130518	0.495502	2.118676	-1.035130	-1.328275	2.380517	-1.880741	-0.208517	1.898611	-0.043818	1.885925	1.621339	0.482477	-2.910280	0.291202	1.086444	-0.266059	-2.682201	-1.525529	-1.067738	2.210249	-0.468489	0.663331	0.260903
B cells	2.803739	-2.791984	-0.014518	-3.496712	6.286147	2.779215	1.169168	3.290277	1.223756	-0.966433	-1.572746	-0.418573	-0.125530	1.160016	0.358740	-0.636455	1.324426	-0.780623	1.000062	-0.230764	-1.139883	-0.109050	1.505184	-0.596809	0.197625	-0.247419	-0.775674	0.291620	-0.325235	-1.047048	-1.044230	0.157967	1.063087	-1.209180	-0.363623	-0.254846	0.730887	0.403316	0.173121	-0.311380	0.234178	-0.446218	-0.791227	-1.341727	-0.352081	-0.808084	-1.563629	-1.621418	2.582618	-0.293995
B cells	10.729590	-0.658448	-2.055536	-1.880852	1.841495	-0.883551	0.083769	-2.848326	-0.009623	2.217893	-0.331252	0.146660	0.854995	-0.277998	-1.178146	0.775584	-0.754611	-0.064652	-0.950301	2.062422	0.517350	1.484875	-0.575487	1.187720	2.334894	-0.380420	-0.669218	-1.219171	-0.428966	0.677277	0.251412	0.337863	-1.470761	1.543945	1.382042	-3.508151	-0.184346	-1.662513	-3.453018	0.413161	-1.569602	-0.387976	-1.875867	0.519496	-0.543660	-1.096608	-1.987316	0.788724	0.995318	1.177828
CD4 T	-3.892381	-1.182796	0.186728	-3.479912	0.996660	1.325602	0.563906	-0.011037	1.488748	1.031788	1.300532	-0.757296	1.548121	-0.534128	0.123588	0.254864	0.185598	-0.114805	0.629307	-1.515784	1.053597	-0.003992	1.677315	0.452289	0.038641	1.002861	1.820789	0.108577	2.413954	0.513895	1.170437	-1.679729	0.139286	1.686897	-0.777586	1.082170	-1.573662	1.829660	0.733914	0.614155	0.170550	1.200295	-1.144417	-0.841906	0.478523	-0.947587	0.466108	0.808996	0.095769	1.142751
CD4 T	-4.071681	0.762169	1.505586	-2.416600	-0.274921	1.288796	1.053329	3.317770	-0.055398	0.720286	-0.351904	0.450943	1.834924	-2.612981	1.905907	-2.773155	2.031453	0.396236	1.174184	-1.065001	-1.454498	0.407196	3.100080	1.895952	-0.265387	3.705446	-1.852792	2.296572	2.137047	-4.726709	-1.903555	-0.347580	-3.482815	3.525165	-1.984831	-3.700162	1.185293	3.412981	0.311827	-5.814393	-4.412308	1.271856	4.097962	-3.365177	-4.034018	3.185637	-0.065567	1.729339	-2.967261	1.144376
B cells	9.886518	1.248119	-1.903077	0.053607	-4.235559	6.791369	-0.863346	0.560181	1.294025	-1.084102	0.243461	0.378179	0.690853	-0.135772	-0.874986	0.597049	2.341294	1.080620	-2.889190	1.780480	1.871702	-2.935289	0.429733	0.418216	-2.072576	1.490014	-1.532296	-1.397265	0.646644	1.782827	0.476500	-0.639281	0.025136	-1.468903	1.252172	1.000082	-0.908658	-0.889170	1.131333	0.266260	-1.193748	0.332561	-0.577333	-3.520326	-1.074001	0.002633	-2.504914	-0.526222	0.556761	-0.389121
CD4 T	-4.511710	0.613085	0.491422	-3.148693	-1.831237	-1.323739	-1.578133	-0.165367	-1.739341	-0.094541	2.316841	0.389322	1.293257	-1.036420	-0.778483	1.263487	1.699276	0.155774	3.769369	-1.830853	1.863842	0.144647	-1.166345	2.005074	-0.186793	-0.221806	1.685829	2.003886	1.647310	-0.323392	0.133542	0.980504	-1.194272	-0.155206	1.278641	0.979793	0.137199	-0.383631	-0.339894	-1.980288	-1.359017	0.737852	0.741946	-0.018799	-1.679421	-0.036283	1.389580	-1.374966	-2.049783	-1.710703
CD14 Monocytes	-2.090592	-5.665268	-1.287797	6.146353	-1.150505	-0.432721	-1.451772	-1.047822	-0.431631	0.860808	-0.382016	2.127893	1.315260	1.606112	2.705680	-1.664343	1.144684	2.371285	-1.020287	-4.070227	-1.165874	-4.938428	0.593688	-1.846811	1.315209	0.289020	3.453919	0.479583	-1.958224	2.992674	-1.358383	0.024935	1.287470	0.512181	-1.804382	1.663480	-0.167590	-1.862540	-1.305533	1.356728	-0.639418	1.815195	-1.466509	-0.644839	3.225766	2.997124	1.635104	-0.385318	2.052080	-2.429811
CD8 T	-4.117387	7.217334	0.439553	2.286186	2.563337	-1.137249	0.931323	3.816467	-4.103188	-1.221548	-0.002781	1.389650	-1.302188	0.280977	2.097731	-1.118179	-2.977879	1.922983	2.769151	-0.135839	-1.385104	0.392948	1.552122	-1.294310	1.230831	-0.445044	-0.647186	-0.009228	-0.633288	-2.163226	0.399210	-2.624465	-2.341674	1.555912	0.265284	-2.453865	0.963850	0.108009	-0.581002	0.467774	0.983850	1.489630	-2.029525	-0.840876	1.290723	0.036209	2.349529	0.589671	-2.023954	-0.584302
CD4 T	-3.576011	-1.651740	0.484387	-2.046742	-0.043386	-1.152409	-1.856593	-0.201233	-1.483118	2.856182	0.012969	-1.068684	-0.125800	1.307959	-2.418266	-1.029930	0.174106	0.304772	0.411145	-1.076615	-1.272860	0.115120	-0.497322	2.423425	-0.997930	2.348786	0.106063	4.297557	-0.307234	-1.459089	-2.500299	1.078884	-2.437684	1.071925	1.653876	3.256445	-0.605107	0.492039	1.746959	-2.078901	-2.554556	1.795607	3.496212	0.910172	-0.086037	1.821741	-2.724400	1.462594	-1.947609	1.381918
CD4 T	-4.745601	-1.179060	-0.189718	-3.946472	-2.012007	-0.770595	-2.672560	1.194752	0.731489	1.792606	1.115332	-0.601817	0.403195	-2.337416	0.810257	-0.587666	0.294270	-0.488379	-2.660859	0.312772	-0.245395	-1.389721	0.069822	0.620989	2.613427	-1.745758	1.046840	-2.916450	-1.531108	-0.650240	0.952933	-1.329506	-1.320842	-2.835754	-1.035442	0.106503	-0.892921	-0.391826	-0.437054	-0.904534	-1.190711	-1.747525	1.378876	-0.359726	3.230475	0.974033	-1.665727	-1.668509	-0.174757	0.984289
CD8 T	-1.300493	11.992150	-0.930403	6.131991	0.512725	1.988660	0.422581	-0.742235	-0.171756	1.063846	-2.247472	0.195887	2.446172	-0.519065	-1.363303	-0.658467	-1.943151	4.772553	-0.996426	-3.652975	-0.684740	-1.654359	4.165455	-0.155993	2.600262	0.211789	-1.049335	2.105570	0.404540	2.727122	1.551398	-0.306036	0.675035	0.712189	3.423766	-2.587504	1.387006	-3.210020	-0.204966	-1.264892	0.046555	2.212739	-2.737978	0.969113	-2.686584	0.426449	0.862695	6.929500	1.347739	-0.837068
CD8 T	-2.208013	11.629179	-0.936982	5.701520	1.587222	-0.070678	-4.234442	-1.867317	1.368143	0.461258	0.559973	-0.728805	-3.717335	4.423460	-3.632387	0.032081	5.683186	0.109702	4.439037	1.734054	1.787500	-5.544539	1.248518	-2.778316	0.263414	-3.087483	0.909308	2.891864	-0.507470	-4.108389	3.149662	0.162766	3.224490	0.224411	3.950549	-3.296443	-0.110877	1.796226	4.827538	-0.544065	3.144235	-3.937053	-1.626596	-0.969889	0.041885	-0.127428	2.486650	-4.009596	1.925191	2.380564
B cells	8.453984	1.175107	1.487965	-0.810071	-1.375566	6.822503	-0.257522	0.972651	5.306668	0.135497	2.437105	0.235403	2.639502	-3.357813	-1.220723	-3.724102	0.272628	-2.025919	-1.826300	-2.077097	-1.658934	-1.027094	-1.574271	-2.334548	0.173545	0.003055	-0.479129	0.935503	5.188485	3.613119	-2.343558	3.999760	-1.684251	-0.050216	-1.110726	-2.347759	-1.204457	1.672655	0.037558	1.877883	1.022964	0.517882	-0.194761	-2.179836	-0.521764	1.425059	-0.268796	-1.040293	0.292195	-2.620615
B cells	12.298525	0.434183	-1.111486	-2.126372	2.869812	-0.598743	-1.002960	-0.646064	-1.020565	-0.888435	-0.308164	-0.858658	0.086511	1.459181	-0.461889	-0.696056	3.554994	-2.308037	-3.246116	-0.093324	2.389011	-1.438892	0.632132	-1.143917	-0.936808	0.831467	-0.868756	-0.058606	-0.637583	3.100240	2.854705	-1.840166	0.036421	0.733073	0.819573	0.427102	-0.499783	-2.019017	-0.617318	-0.765330	-1.867110	0.876882	0.952945	-0.739111	0.671743	0.707244	1.110946	-0.425248	-0.295154	-0.306481
CD14 Monocytes	-3.686702	-7.516419	-2.204020	6.345838	1.362945	0.925054	-0.054974	-1.327183	-0.230591	0.871987	-2.627272	-3.843377	-0.802032	-3.931914	0.746411	0.451293	0.238559	-1.503832	-1.473980	1.389421	0.926712	-1.295799	0.413182	2.037712	-0.949732	-0.196020	1.359911	-1.770775	1.951086	0.667444	-1.660309	-1.074254	-0.474986	1.164288	1.536495	-2.170783	-1.152119	2.612177	-0.238774	-1.653473	1.563774	-2.505352	-0.599066	0.317296	-0.574014	1.248413	3.024550	-1.407726	0.006196	-1.033374
CD4 T	-4.520989	0.112564	-0.352522	-2.275443	-2.715154	-0.509938	0.403940	-0.687760	-1.302643	0.701096	0.685830	-0.762697	1.054060	1.653100	-2.609503	3.478395	-0.343442	1.546218	1.563119	-1.987006	0.636615	-0.883179	2.031574	-0.058040	1.356182	0.886516	-0.112096	1.124091	-1.112231	-1.638667	-1.431861	3.099003	-0.238460	0.065715	3.023636	2.379102	-0.988729	-1.361055	3.057955	0.371956	-1.006790	-1.332842	-0.582364	2.896850	-1.064657	-0.985124	0.445518	0.969721	0.808922	-0.563155
CD4 T	-3.598353	0.834860	-0.438339	-3.450417	-2.674837	-0.419860	0.839680	-1.445442	1.494602	-1.923260	-0.230887	0.313533	1.007944	0.713969	0.068819	-1.616080	-0.371348	-0.039568	-1.213181	0.888107	0.748556	0.401714	2.514120	2.069160	-0.014392	1.329888	-1.164771	-0.199463	1.319964	-0.853796	-0.531322	0.939784	-0.647820	-0.782561	-2.036496	-0.492380	-1.861831	-0.458107	-0.639451	0.733655	-0.766599	0.346872	-0.355510	0.384386	1.248092	0.036142	-0.136388	-0.783164	0.992872	-1.459187
CD4 T	-3.453847	-0.659520	1.059840	-2.260049	0.915711	0.764352	-0.255413	0.299909	0.033460	1.989044	0.072033	1.676696	0.319176	-0.887813	-0.548938	-0.402731	-0.119683	1.970900	1.566679	2.068448	-1.526800	0.154766	0.121123	-0.637754	1.422804	-0.285147	-0.914299	-2.684511	0.501591	-1.248233	1.060154	-1.403318	-0.170797	2.208514	1.141369	0.292655	-0.128012	0.587408	-0.037223	2.020265	-0.469938	-1.062624	0.366729	1.996774	-0.283756	3.204747	-4.177917	1.378180	1.811795	0.301258
CD4 T	-4.017951	1.865726	-0.263564	-1.968777	-1.408475	-0.578047	1.798319	-0.218235	-1.150793	-1.003309	0.929636	3.330943	-1.825954	-0.553108	-0.175399	1.711632	-0.624319	-2.829139	3.275326	-0.472163	-2.321408	2.172412	2.189582	0.634903	-0.909602	0.535519	1.274539	-2.804935	1.242328	1.070591	-1.225415	1.665138	-0.239350	3.002243	-3.540898	1.949235	0.075293	1.324851	-0.171907	1.839172	3.047651	0.803956	0.943530	-0.142524	-6.873232	2.734425	-3.113970	2.702541	-0.410286	1.892299
CD8 T	-4.409742	5.673091	0.048407	2.372929	-0.172960	-0.718499	1.411706	1.544229	-1.866707	0.657387	3.134946	2.510464	0.390065	-1.536934	-0.511698	-1.920785	0.377423	0.044869	2.603071	1.112610	-0.112371	1.519817	1.550005	-0.580601	1.686429	0.397876	-2.118538	-1.739643	1.308503	-2.061504	1.059969	-0.838060	3.263497	0.802187	2.002854	-1.794548	4.729455	-0.300751	0.887955	-0.846024	0.654742	-0.643742	-0.248410	-1.530964	0.441640	2.729443	-1.499144	-1.215702	-0.814666	-0.530291
CD4 T	-3.746103	-3.175118	0.826392	-2.092886	4.126894	2.222167	-0.863696	1.535813	-0.428565	2.026691	2.568039	0.356729	0.650845	2.489360	3.870701	-1.957315	1.269135	0.262745	-1.812362	-1.196023	-1.733170	0.539317	0.072047	2.552983	-4.676361	0.511639	-0.595504	0.709475	4.718405	-1.351921	1.509480	-2.671310	0.908767	-0.019757	-1.517409	-0.187239	-1.567178	1.489759	0.308388	-1.360331	-0.080972	-2.239542	-0.794659	1.712075	-0.151681	1.908353	0.144816	-3.092236	-0.350967	-0.431282
CD8 T	-5.167436	0.859999	-0.063410	0.331781	4.890018	0.200632	4.901553	-1.680831	4.255085	0.184516	-0.747987	-3.260898	-0.872322	-0.093221	-1.869583	0.808385	0.215382	-0.450668	-0.578149	2.062449	-1.284577	-0.691373	-1.443946	-0.370691	-1.012323	-2.968941	-0.115724	-0.137630	1.059096	0.534964	-0.296946	0.947799	-0.768228	2.690228	-0.130014	-0.565358	0.277924	2.172840	-1.324553	-2.526897	-0.413154	1.703281	-3.040615	0.402308	-1.913126	0.722380	0.140246	0.350770	1.589070	0.299270
B cells	9.480822	-1.678174	0.977845	-1.723756	4.290811	-3.076288	-0.560357	-2.139658	-0.674049	0.034193	0.046403	-0.710096	-0.732818	-1.106825	-0.990201	-1.875699	-2.866777	2.507889	2.190945	-0.245295	-0.612038	2.528765	1.776154	-0.602083	2.677571	1.997046	2.273157	-1.974314	0.885711	-1.108665	-0.155789	-0.333302	0.668189	0.182535	-1.629304	-1.776992	4.080130	0.385910	-0.860787	-1.742275	1.491669	-0.168817	0.188542	0.827042	2.514246	0.661604	-2.292941	-0.615439	1.835674	2.127054
CD14 Monocytes	-1.503583	-7.366822	-1.907252	8.550853	-1.367576	0.542506	-0.828237	0.008540	0.926375	1.851546	-1.195679	0.505908	-1.479549	-1.396439	-3.146189	0.839853	1.255995	-0.332687	-1.782100	1.599581	0.519458	3.049104	0.976753	1.805492	-2.426116	2.429679	-1.662720	-0.626786	-1.111410	2.092732	-0.899133	-0.593926	-1.466093	-1.090503	1.003408	0.577661	-2.581422	-1.900212	-0.712759	-1.315435	-2.019811	4.007705	0.470771	0.190263	-2.726012	1.734365	1.400727	-0.555539	-0.265098	0.010753
CD14 Monocytes	-1.533658	-6.629025	-1.585919	6.112166	0.958718	0.658367	0.443851	-1.779300	-1.229044	2.620085	-0.678811	3.048862	-0.804462	1.332667	0.610627	-0.115874	-0.875915	0.803376	-4.090951	-1.696264	1.560778	-1.915680	0.539624	-1.301701	0.249959	0.909681	-0.382128	-0.023701	-1.712732	-1.545627	1.859695	-1.061349	2.014678	-1.288877	-1.810654	-0.011615	1.435094	-1.413716	-0.377620	-4.042000	-2.496601	-0.874147	0.479309	-0.896113	0.524130	-0.506219	-1.320524	1.849270	-4.915793	-0.615645
CD4 T	-2.620304	0.885813	-0.804066	-1.269585	-5.090370	-1.718230	-1.029141	-2.400087	1.084998	-1.996199	-0.737266	2.076874	-0.544310	0.057219	-4.416362	-1.225780	4.382216	0.113085	1.218091	6.385051	-1.123788	2.456038	-1.592590	0.557244	-2.650205	1.369850	0.274762	4.021679	3.246548	0.635239	0.690674	-1.186510	0.465706	3.298436	-0.873651	-0.583364	2.448571	-2.586706	0.161257	4.731270	-2.887491	-0.049430	0.052666	1.100159	-0.632007	-0.712895	1.558048	1.896709	-0.574985	-1.090085
CD4 T	-2.122445	-1.089581	0.035641	-2.129428	1.759819	0.379021	1.499460	-0.340941	0.784873	0.099036	-0.164175	1.621637	2.874607	0.754110	0.298248	1.086293	-1.751112	-1.407104	0.546420	1.487660	1.459071	-0.753982	-0.546371	-0.756328	0.416682	-1.147699	0.125878	0.042960	0.820235	1.386300	-1.798949	-0.686242	0.373397	-0.796557	0.111789	-2.067016	1.284481	-0.425463	1.121190	-0.010476	-0.516151	-0.084999	-1.736703	1.134907	-0.074641	0.708253	0.304282	0.067374	0.812410	-0.842130
CD4 T	-2.635763	-0.158567	0.185973	-2.676608	-1.671596	0.139906	0.404673	-1.434892	-0.810566	0.083159	-1.390466	-0.194377	1.625089	-0.640054	0.975194	-0.757464	1.230876	-3.626495	0.459183	1.578053	-0.958527	-0.576165	-2.145379	1.660742	-1.055327	-0.755903	-3.685537	2.020741	-2.222488	2.676850	0.680174	-3.735582	0.239963	0.576775	2.979027	-2.572600	1.383768	1.185776	2.361538	0.835051	0.854544	-1.130882	2.461555	0.319802	0.811504	0.222015	0.187730	1.043755	-1.116003	-2.111660
CD14 Monocytes	-1.964115	-8.182940	-2.330110	9.701815	0.075667	0.883318	-0.748914	-1.589308	0.686551	5.915310	0.010819	1.179370	-1.412773	0.764284	3.651657	-0.742057	1.173314	-0.388939	2.097554	-2.629537	-0.635386	0.876255	0.370060	-0.322241	-1.522212	0.141621	-3.461709	-1.769815	-1.151616	0.127997	0.116169	0.393284	0.997161	-1.032616	-0.959673	0.835381	-0.885944	-3.496873	-0.453481	0.647820	-1.880921	0.138814	-2.902520	0.821578	-0.011861	1.300063	1.902262	-2.465582	3.505851	-0.087022
CD4 T	-3.658274	-0.046736	0.052730	-3.686213	-1.300766	-1.016341	0.463129	-1.715326	-0.751229	1.878948	-2.776808	-0.142704	0.635354	0.035945	-1.061326	-1.892363	-0.435048	0.929158	-3.018794	-0.975022	1.120375	2.062101	1.334483	1.873503	-1.387310	-0.392623	0.439240	-1.431654	2.133260	-0.533168	-2.249777	-2.618292	-1.585776	-0.652000	-1.966690	-0.222863	3.141822	-1.123949	1.537657	3.382563	2.552692	0.298887	0.856960	-0.378391	0.904428	-0.850458	1.251476	1.479829	1.158399	-0.808138
